ID,Author,Book,Book Abbrev.,Citation,Translation,Quotes,Rate,Topics,Tags
1664,Mary Baker Eddy,Science and Health,SH,240:2,,"Arctic regions, sunny tropics, giant hills, winged winds, mighty billows, verdant vales, festive flowers, and glorious heavens, — all point to Mind, the spiritual intelligence they reflect. The floral apostles are hieroglyphs of Deity....The stars make night beautiful, and the leaflet turns naturally towards the light.",3,Travel,"Travel, Peace"
1663,,,Phil,4:13,PHILLIPS,I am ready for anything through the strength of the one who lives within me.,1,Travel,"Adventure, Fear, Travel"
1662,,Psalms,Ps,73:24,MSG,"You wisely and tenderly lead me, and then you bless me.",1,Travel,"Wisdom, Travel, Guide, Lost"
1661,Mary Baker Eddy,Miscellaneous Writings,Mis,157:15,,"...my Father is your Father; and He helps us most when help is most needed, for He is the ever-present help.",3,Travel,"Travel, Adventure, Help"
1660,,Zephaniah,Zeph,3:17,KJV,"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; he will rest in his love, he will joy over thee with singing.",3,Travel,"Travel, Peace, Fear, Home"
1659,Mary Baker Eddy,Science and Health,SH,44:10-12,,"Step by step will those who trust Him find that ""God is our refuge and strength, a very present help in trouble.""",1,Travel,"Safety, Travel"
1658,Mary Baker Eddy,Miscellaneous Writings,Mis,81:25-29,NIV,"In the desolation of human understanding, divine Love hears and answers the human call for help; and the voice of Truth utters the divine verities of being which deliver mortals out of the depths of ignorance and vice.",3,Travel,"Safety, Travel"
1657,,Psalms,Ps,139:9-10,MSG,"Is there anyplace I can go to avoid your Spirit? to be out of your sight? If I climb to the sky, you're there! If I go underground, you're there! If I flew on morning's wings to the far western horizon, You'd find me in a minute— you're already there waiting!",2,Travel,"Travel, Adventure, Help"
1656,Mary Baker Eddy,Miscellaneous Writings,Mis,41:26-28,,"The divine Principle which governs the universe, including man, if demonstrated, is sufficient for all emergencies.",2,Travel,"Travel, Fear, Help, Rape, Cheating, Gangs, Bullying"
1655,,Psalms,Ps,46:1,NIV,"God is our refuge and strength, an ever-present help in trouble.",1,Travel,"Travel, Fear, Help"
1654,,Ephesians,Eph,2:19,KJV,"Now therefore ye are no more strangers and foreigners, but fellow-citizens with the saints, and of the household of God.",1,Travel,"Travel, Safety, Neighbor, Stranger, Homelessness, World, Culture, Gangs, Bullying, Peer Pressure"
1653,Mary Baker Eddy,Science and Health,SH,283:4-6,,"Mind is the source of all movement, and there is no inertia to retard or check its perpetual and harmonious action.",1,Travel,"World, Travel"
1652,,Psalms,Ps,121: 8,KJV,"The Lord shall preserve thy going out and thy coming in from this time forth, and even for evermore.",1,Travel,"World, Travel"
1651,Mary Baker Eddy,Miscellaneous Writings,Mis,347:26-27,,"Those who know no will but His take His hand, and from the night He leads to light.",1,Decisions,"Self, Purpose"
1650,Mary Baker Eddy,Miscellaneous Writings,Mis,230:8-12,,"Three ways of wasting time, one of which is contemptible, are gossiping mischief, making lingering calls, and mere motion when at work, thinking of nothing or planning for some amusement, — travel of limb more than mind.",4,Travel,"Friends, Gossip"
1649,Paul,I Thessalonians,l Thess,5:12-13,NLT,"Dear brothers and sisters, honor those who are your leaders in the Lord’s work. They work hard among you and give you spiritual guidance. Show them great respect and wholehearted love because of their work. And live peacefully with each other.",4,Jobs,"Interfaith, Prayer, Leadership, Work, Mission, Love, Harmony"
1648,,Psalms,Ps,"107: 28, 30-31",MSG,"You called out to God in your desperate condition; he got you out in the nick of time. And you were so glad when the storm died down, and he led you safely back to harbor.  So thank God for his marvelous love, for his miracle mercy to the children he loves.",2,Travel,"Savior, Storm, Safety, Gratitude, Parents, Children, Feelings, Discouragement, Travel, Pregnancy"
1647,,Ephesians,Eph,4:4,MSG,"You were all called to travel on the same road and in the same direction, so stay together, both outwardly and inwardly. You have one Master, one faith, one baptism, one God and Father of all, who rules over all, works through all, and is present in all. Everything you are and think and do is permeated with Oneness.",2,Travel,"Travel, Direction, Faith, Baptism, Oneness"
1646,Mary Baker Eddy,Miscellaneous Writings,Mis,397:22,,"Shepherd, show me how to go   O'er the hillside steep,   How to gather, how to sow, —    How to feed Thy sheep;   I will listen for Thy voice,   Lest my footsteps stray;   I will follow and rejoice   All the rugged way.",1,Direction,"Purpose, Guidance, World"
1645,,Exodus,Ex,23:20,KJV,"Behold, I send an Angel before thee, to keep thee in the way, and to bring thee into the place which I have prepared.",1,Travel,"Purpose, Guidance, Progress, Safety, World, Travel"
1644,,Psalms,Ps,139:7-10,KJV,"Whither shall I go from thy spirit? or whither shall I flee from thy presence? If I ascend up into heaven, thou art there: if I make my bed in hell, behold, thou art there. If I take the wings of the morning, and dwell in the uttermost parts of the sea; Even there shall thy hand lead me, and thy right hand shall hold me.",2,Travel,"Hand, Heaven, Protection, Omnipresence, World, Travel"
1643,,Proverbs,Prov,3:5-6,KJV,"Trust in the Lord with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths.",2,Fear,"Guidance, Path, Decisions, Direction"
1642,Mary Baker Eddy,Miscellaneous Writings,Mis,150:10,,Space is no separator of hearts.,1,Death,"Love, Friends, Family, World"
1641,,Psalms,Ps,7:10,CEV,"You, God, are my shield, the protector of everyone whose heart is right.",1,Travel,
1640,,Isaiah,Isa,61:10,,"I will greatly rejoice in the Lord, my soul shall by joyful in my God; for he hath clothed me with the garments of salvation, he hath covered me with the robe of righteousness",2,Looks,
1639,,Colossians,Col,3:12,NIV,"Therefore, as God’s chosen people, holy and dearly loved, clothe yourselves with compassion, kindness, humility, gentleness and patience.",1,Looks,
1638,,Rudimental Divine Science,Rud,6:06,,"All beauty and goodness are in and of Mind, emanating from God; but when we change the nature of beauty and goodness from Mind to matter, the beauty is marred, through a false conception, and, to the material senses, evil takes the place of good.",3,Looks,
1637,,Science and Health,SH,264:10,,"We must look where we would walk, and we must act as possessing all power from Him in whom we have our being.",2,Travel,
1636,,Science and Health,SH,264:7-10,,"Mortals must look beyond fading, finite forms, if they would gain the true sense of things. Where shall the gaze rest but in the unsearchable realm of Mind?",2,Looks,
1635,,Science and Health,SH,360:2-5,,"Human lives are yet uncarved, — in the rough marble, encumbered with crude, rude fragments, and awaiting the hammering, chiselling, and transfiguration from His hand.",1,Looks,
1634,Paul,II Corinthians,II Cor,4:18,NIV,"So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal.",1,Looks,
1633,,Psalms,Ps,17:15,,"As for me, I will behold thy face in righteousness: I shall be satisfied, when I awake, with thy likeness",1,Looks,
