vis,topic
0,Abuse
1,Academics
0,Addiction
1,Beauty
1,Body
1,Breakups
1,Competition
1,Confidence
1,Creativity
1,Crisis
1,Death
1,Decisions
1,Depression
1,Direction
0,Divorce
1,Drinking & Drugs
1,Environment
0,Evil
1,Family
1,Fear
1,Forgiveness
1,Friends
1,Future
1,God
1,Gratitude
1,Happiness
1,Health
0,Homosexuality
1,Human Rights
1,Identity
1,Interfaith
1,Jesus
1,Jobs
1,Loneliness
1,Looks
1,Love
1,Manhood & Womanhood
1,Marriage
1,Money
1,Prayer
1,Progress
1,Purpose
1,Relationships
1,Safety
1,Self-worth
0,Sexuality
1,Spirituality
1,Spiritulity
1,Sports
1,Stress
1,Success
0,Suicide
1,Tragedy
1,Travel
1,World Peace
